v_1, v_2, v_3, v_4, v_5, v_6, v_7, v_8, v_9, v_10, 
-0.064575, 0.225678, -0.667591, -0.256545, -0.2967, -0.0451893, -0.165745, -0.0143685, -0.474855, 0.30028, 
-0.187923, 0.196067, 0.277893, -0.693633, -0.178029, 0.0392889, 0.281517, -0.225018, 0.320714, 0.319238, 
0.445649, -0.463347, 0.0945679, -7.03091e-15, -3.74577e-15, -0.402771, -0.214693, -0.442755, -0.0242096, 0.415727, 
-0.435628, -0.150724, -0.223432, 0.437087, -0.118671, -0.341477, 0.468112, 0.0850019, 0.237122, 0.365066, 
0.405572, 0.306694, 0.334149, -4.46125e-15, -2.15965e-15, -0.300193, 0.264531, 0.561381, -0.297152, 0.257399, 
0.378887, -0.139659, -0.0961863, 0.180542, -0.415371, 0.623406, 0.00780189, 0.209909, 0.306628, 0.309487, 
-0.0870199, -0.486444, -0.00975146, -0.180542, 0.415371, 0.392448, 0.410851, 0.039722, -0.447149, 0.161996, 
0.106705, 0.384265, -0.238067, 0.0760029, 0.71207, 0.112529, -0.143639, -0.0345994, 0.299818, 0.383505, 
-0.111497, 0.384271, 0.349693, 0.437087, -0.118671, 0.262337, 0.0728155, -0.514806, -0.370367, 0.190185, 
-0.482398, -0.166438, 0.343904, -6.35185e-15, -3.19292e-15, 0.0577415, -0.602731, 0.344808, -0.0742803, 0.36096, 
